,ID,AlldataNum,unzerospeedNum,speed_min,speed_max,begintime,endtime,timeAll,drivingtime,timespaceMax,timespaceMode,roadNum,distance
13176,0642d6b5574590fd,120,118,6,87,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,3510.0,30.0,30.0,,51793
13186,8ee5069dac049322,162,140,8,62,2016-08-08 10:00:14,2016-08-08 10:59:59,3585.0,2926.0,31.0,30.0,,23205
13204,2e3ffec3f6affd5b,153,127,6,85,2016-08-08 10:00:21,2016-08-08 11:00:00,3579.0,2804.0,60.0,30.0,,25640
13237,5615691552ee0be5,152,131,7,76,2016-08-08 10:00:18,2016-08-08 10:59:49,3571.0,2944.0,31.0,30.0,,25352
13240,27e72068d781411b,153,133,9,127,2016-08-08 10:00:20,2016-08-08 10:56:34,3374.0,2828.0,31.0,30.0,,77481
13242,797a28e30cdb9d5d,182,172,4,95,2016-08-08 10:00:20,2016-08-08 11:00:02,3582.0,3283.0,31.0,30.0,,69160
13245,21ee4d9dba0ab174,167,149,4,77,2016-08-08 09:57:02,2016-08-08 10:55:32,3510.0,3002.0,39.0,30.0,,46038
13246,fa25a5864c93293b,110,109,3,76,2016-08-08 10:00:20,2016-08-08 10:59:52,3572.0,3539.0,153.0,31.0,,57620
13247,e2e05f1f370d0dcd,123,114,6,62,2016-08-08 09:59:53,2016-08-08 10:36:26,2193.0,1923.0,30.0,30.0,,24905
13310,faddf5f97fd18a1d,126,126,52,52,2016-08-08 10:00:17,2016-08-08 10:59:46,3569.0,3569.0,37.0,30.0,,0
13317,641bd79db71698e7,126,124,2,57,2016-08-08 10:00:17,2016-08-08 10:59:52,3575.0,3550.0,85.0,30.0,,33428
13342,5f516b69ed45b463,150,133,7,74,2016-08-08 10:00:20,2016-08-08 10:59:50,3570.0,3061.0,31.0,30.0,,27452
13344,e216ce4e1e627f87,120,114,1,66,2016-08-08 10:00:19,2016-08-08 10:59:53,3574.0,3394.0,34.0,30.0,,42725
13349,19ed47d6c8ca56f6,120,106,4,96,2016-08-08 10:00:04,2016-08-08 10:59:34,3570.0,3150.0,150.0,30.0,,63687
13350,70b56dae47d315c6,433,422,5,77,2016-08-08 10:00:03,2016-08-08 10:50:22,3019.0,2794.0,30.0,1.0,,36534
13354,afc583fef11e5d57,418,227,5,59,2016-08-08 09:59:57,2016-08-08 10:59:42,3585.0,1489.0,201.0,1.0,,14068
13372,a4336e942e3fa5ec,120,120,20,95,2016-08-08 10:00:21,2016-08-08 10:57:51,3450.0,3450.0,32.0,30.0,,80524
13377,1f3265a9591879c4,108,102,3,76,2016-08-08 10:00:20,2016-08-08 10:59:20,3540.0,3401.0,61.0,60.0,,54153
13391,a3394c16d6d90f9c,112,108,6,94,2016-08-08 10:00:21,2016-08-08 10:50:56,3035.0,2915.0,90.0,30.0,,46613
13399,d6404e621c5e012e,276,271,12,85,2016-08-08 10:00:15,2016-08-08 10:59:45,3570.0,3531.0,414.0,2.0,,47225
13402,8ad6d54e054ea52e,121,104,8,34,2016-08-08 10:00:20,2016-08-08 10:59:21,3541.0,2521.0,61.0,60.0,,13904
